datetime,SOM,Klant 1,Klant 2,Klant 3,Klant 4,Klant 5,Klant 6,Klant 8,Klant 9,Klant 10,Klant 11,Klant 13,Klant 14,Klant 15,Klant 16,Klant 17,Klant 18,Klant 19,Klant 20,Klant 21,Klant 22,Klant 23,Klant 24,Klant 25,Klant 26,Klant 27,Klant 28,Klant 29,Klant 30,Klant 31,Klant 32,Klant 33,Klant 34,Klant 35,Klant 36,Klant 37,Klant 38,Klant 39,Klant 40,Klant 41,Klant 42,Klant 43,Klant 44,Klant 45,Klant 46,Klant 47,Klant 48,Klant 49,Klant 50,Klant 51,Klant 52,Klant 53,Klant 55,Klant 57,Klant 58,Klant 59,Klant 60,Klant 61,Klant 62,Klant 63,Klant 64,Klant 65,Klant 66,Klant 67,Klant 68,Klant 69,Klant 70,Klant 71,Klant 72,Klant 73,Klant 74,Klant 76,Klant 77,Klant 78,Klant 79,Klant 80,Klant 81,Klant 82,terleveraars
28-8-2013 7:30,46,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,22,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,40
28-8-2013 7:45,99,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,62,0,0,0,0,0,0,11,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,102
28-8-2013 8:00,221,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,223
28-8-2013 8:15,401,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,90,0,0,0,0,0,0,17,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,406
28-8-2013 8:30,592,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,172,0,0,0,0,0,0,47,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,587
28-8-2013 8:45,588,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,146,0,0,0,0,0,0,70,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,593
28-8-2013 9:00,408,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,10,157,0,0,0,0,0,47,0,0,0,0,0,0,74,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,406
28-8-2013 9:15,674,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,59,132,0,0,0,0,0,162,0,0,0,0,0,0,162,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,681
28-8-2013 9:30,549,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,54,162,0,0,0,0,0,92,0,0,0,0,0,0,114,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,539
28-8-2013 9:45,658,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,106,164,0,0,0,0,0,97,0,0,0,0,0,0,175,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,664
28-8-2013 10:00,576,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,95,117,0,0,0,0,0,75,0,0,0,0,0,0,154,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,572
28-8-2013 10:15,1028,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,179,259,0,0,0,0,0,169,0,0,0,0,0,0,193,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,8,0,0,1035
28-8-2013 10:30,2499,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,401,572,0,0,0,0,0,426,0,0,0,0,0,0,490,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,5,0,0,2485
28-8-2013 10:45,2581,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,471,570,0,0,0,0,0,396,0,0,0,0,0,0,525,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,37,0,0,2588
28-8-2013 11:00,2838,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,535,578,0,0,0,0,0,437,0,0,0,0,0,0,571,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,116,0,0,2831
28-8-2013 11:15,3063,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,522,610,0,0,0,0,0,467,0,0,0,0,0,0,625,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,156,0,0,3071
28-8-2013 11:30,1522,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,312,239,0,0,0,0,0,214,0,0,0,0,0,0,321,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,14,0,0,1508
28-8-2013 11:45,1401,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,303,244,0,0,0,0,0,170,0,0,0,0,0,0,290,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,1407
