,cum_power,Elec_kW,Gas_mxm
9/28/2012,3730.8,7,6
9/29/2012,3741,4,6
9/30/2012,3755.7,0,7
10/1/2012,3771.7,-7,6
10/2/2012,3781.2,4,7
10/3/2012,3788.8,7,4
10/4/2012,3792.4,11,8
10/5/2012,3806.7,2,6
10/6/2012,3810.9,10,6
10/7/2012,3814.4,12,7
10/8/2012,3826.6,5,7
10/9/2012,3835,6,9
10/10/2012,3840.7,9,10
10/11/2012,3851.8,5,8
10/12/2012,3862,5,7
10/13/2012,3870.2,7,11
10/14/2012,3872.3,14,10
10/15/2012,3877.7,16,10
10/16/2012,3885.3,8,9
10/17/2012,3894.8,8,10
10/18/2012,3899.2,12,6
10/19/2012,3902.3,14,4
10/20/2012,3906.9,7,4
10/21/2012,3910.1,7,6
10/22/2012,3915.6,9,3
10/23/2012,3925.2,5,4
10/24/2012,3933.4,6,5
10/25/2012,3942.1,7,5
10/26/2012,3943.6,11,11
10/27/2012,3945.6,11,14
10/28/2012,3954.8,7,12
10/29/2012,3964.1,5,10
10/30/2012,3965.9,4,12
10/31/2012,3970.2,11,12
11/1/2012,3979.1,8,12
11/2/2012,3983.2,12,12
11/3/2012,3987.2,10,14
11/4/2012,3993.8,11,12
11/5/2012,3998.3,12,13
11/6/2012,4001.2,14,13
11/7/2012,4005.5,10,13
11/8/2012,4008.6,13,11
11/9/2012,4011.2,13,10
11/10/2012,4014.9,13,10
11/11/2012,4015.9,10,10
11/12/2012,4020.2,20,10
11/13/2012,4022.1,16,12
11/14/2012,4023.9,13,11
11/15/2012,4031.1,9,13
11/16/2012,4032.9,12,14
11/17/2012,4036.6,16,13
11/18/2012,4037.6,21,15
11/19/2012,4039.3,16,13
11/20/2012,4041.2,15,14
11/21/2012,4045.5,13,12
11/22/2012,4047.4,19,13
11/23/2012,4053.3,10,13
11/24/2012,4054.1,19,13
11/25/2012,4055,21,12
11/26/2012,4059,16,11
11/27/2012,4061.3,11,11
11/28/2012,4063.1,15,13
11/29/2012,4066.7,14,15
11/30/2012,4069.2,15,13
12/1/2012,4072,13,17
12/2/2012,4074.6,19,16
12/3/2012,4077.6,15,15
12/4/2012,4078,19,18
12/5/2012,4079.8,14,18
12/6/2012,4080.6,15,18
12/7/2012,4082.1,16,20
12/8/2012,4083.8,16,21
12/9/2012,4088.7,13,19
12/10/2012,4089,20,16
12/11/2012,4090.4,14,17
12/12/2012,4095.6,14,21
12/13/2012,4100.4,13,21
12/14/2012,4103.3,16,19
12/15/2012,4104.1,20,16
12/16/2012,4105.5,17,13
12/17/2012,4106.8,17,13
12/18/2012,4107.8,16,13
12/19/2012,4109.1,18,15
12/20/2012,4111.2,15,13
12/21/2012,4111.8,20,17
12/22/2012,4113.1,17,14
12/23/2012,4113.3,24,13
12/24/2012,4113.6,19,11
12/25/2012,4115.5,18,11
12/26/2012,4117.7,19,11
12/27/2012,4119.2,18,13
12/28/2012,4120.6,16,13
12/29/2012,4121.6,17,13
12/30/2012,4124.5,18,12
12/31/2012,4126.9,16,5
1/1/2013,4128,21,13
1/2/2013,4130.7,19,12
1/3/2013,4133.1,17,14
1/4/2013,4133.7,18,13
1/5/2013,4134.1,18,11
1/6/2013,4134.3,20,11
1/7/2013,4135.4,14,11
1/8/2013,4135.8,17,13
1/9/2013,4136.7,15,14
1/10/2013,4136.9,16,14
1/11/2013,4139.6,17,15
1/12/2013,4141.7,17,19
1/13/2013,4145.9,17,19
1/14/2013,4151.1,15,21
1/15/2013,4153.4,16,23
1/16/2013,4153.4,18,23
1/17/2013,4154.6,18,25
1/18/2013,4155.4,16,25
1/19/2013,4157.6,10,21
1/20/2013,4158.8,23,24
1/21/2013,4158.9,20,24
1/22/2013,4158.9,20,23
1/23/2013,4162.1,14,21
1/24/2013,4167,12,24
1/25/2013,4171.8,16,23
1/26/2013,4174.6,17,24
1/27/2013,4175.2,21,24
1/28/2013,4177.3,17,19
1/29/2013,4181.9,13,20
1/30/2013,4182.7,17,15
1/31/2013,4188,12,12
2/1/2013,4191,14,8
2/2/2013,4191.8,16,20
2/3/2013,4197.9,13,20
2/4/2013,4200.6,17,16
2/5/2013,4205.6,11,15
2/6/2013,4211.6,11,18
2/7/2013,4216.3,15,19
2/8/2013,4221.3,11,18
2/9/2013,4227,11,19
2/10/2013,4231.2,19,19
2/11/2013,4239.3,12,19
2/12/2013,4242,12,22
2/13/2013,4244.5,15,23
2/14/2013,4252.4,11,20
2/15/2013,4253.4,16,22
2/16/2013,4259.6,12,18
2/17/2013,4261.6,18,15
2/18/2013,4265,18,15
2/19/2013,4274.8,5,16
2/20/2013,4279.3,13,18
2/21/2013,4287.9,13,20
2/22/2013,4292.5,15,21
2/23/2013,4295.6,16,25
2/24/2013,4299.8,20,24
2/25/2013,4301.6,17,21
2/26/2013,4303.3,19,19
2/27/2013,4309.4,15,14
2/28/2013,4310.5,17,21
3/1/2013,4313.2,16,19
3/2/2013,4315.8,18,19
3/3/2013,4321.4,16,18
3/4/2013,4327.5,16,17
3/5/2013,4341.7,6,15
3/6/2013,4352.3,10,13
3/7/2013,4364.8,7,11
3/8/2013,4370.8,10,11
3/9/2013,4377.2,12,10
3/10/2013,4378.5,20,13
3/11/2013,4380.2,18,17
3/12/2013,4382.6,14,23
3/13/2013,4390.5,9,26
3/14/2013,4401.1,7,22
3/15/2013,4412.3,6,21
3/16/2013,4419,13,21
3/17/2013,4426.8,13,18
3/18/2013,4433.2,13,15
3/19/2013,4444,7,13
3/20/2013,4452.5,7,15
3/21/2013,4455.3,16,18
3/22/2013,4465.4,7,17
3/23/2013,4476.6,6,20
3/24/2013,4479.4,18,21
3/25/2013,4479.6,15,22
3/26/2013,4490.9,6,21
3/27/2013,4511.7,-1,20
3/28/2013,4531.9,-1,18
3/29/2013,4542.3,9,18
3/30/2013,4549.6,8,20
3/31/2013,4556.7,18,17
4/1/2013,4564.5,16,19
4/2/2013,4587.6,-4,17
4/3/2013,4611,-7,16
4/4/2013,4621.5,7,18
4/5/2013,4639.6,0,15
4/6/2013,4644,11,17
4/7/2013,4654.7,7,15
4/8/2013,4676.7,0,13
4/9/2013,4687.5,7,13
4/10/2013,4697,10,13
4/11/2013,4706.7,7,11
4/12/2013,4712.9,11,11
4/13/2013,4725.1,16,11
4/14/2013,4739.7,4,10
4/15/2013,4763.6,-15,4
4/16/2013,4776.9,5,5
4/17/2013,4787.2,4,6
4/18/2013,4803.7,-1,4
4/19/2013,4829.1,-9,5
4/20/2013,4843.6,-2,10
4/21/2013,4871,-8,10
4/22/2013,4893.8,-10,8
4/23/2013,4917.4,-13,9
4/24/2013,4932.1,0,7
4/25/2013,4956.2,-7,5
4/26/2013,4979.7,-11,3
4/27/2013,4981.3,16,8
4/28/2013,4996.4,1,10
4/29/2013,5025.3,-14,10
4/30/2013,5042.7,-3,10
5/1/2013,5066.4,-9,8
5/2/2013,5087.7,-4,7
5/3/2013,5111.7,-10,6
5/4/2013,5132.2,-9,4
5/5/2013,5149.7,0,7
5/6/2013,5174,-11,4
5/7/2013,5194.6,-6,2
5/8/2013,5207.8,0,3
5/9/2013,5217.9,6,4
5/10/2013,5239.5,-9,2
5/11/2013,5250.9,5,7
5/12/2013,5262.8,5,8
5/13/2013,5271.1,9,11
5/14/2013,5282.8,4,8
5/15/2013,5296.1,0,8
5/16/2013,5323,-10,8
5/17/2013,5326.7,14,9
5/18/2013,5329.7,10,10
5/19/2013,5341.5,-1,9
5/20/2013,5365.8,-8,6
5/21/2013,5370,13,8
5/22/2013,5372.4,11,7
5/23/2013,5384,6,15
5/24/2013,5403.9,-7,9
5/25/2013,5423,-4,12
5/26/2013,5441.7,0,10
5/27/2013,5458.7,0,7
5/28/2013,5487.9,18,5
5/29/2013,5502.4,-1,4
5/30/2013,5507.2,11,9
5/31/2013,5516.6,7,7
6/1/2013,5543,-14,4
6/2/2013,5559.5,2,6
6/3/2013,5588.7,-14,4
6/4/2013,5613.6,-12,6
6/5/2013,5640.5,-15,4
6/6/2013,5665.2,-10,12
6/7/2013,5689.7,-13,2
6/8/2013,5718,-17,1
6/9/2013,5747.3,-14,1
6/10/2013,5777.1,-15,1
6/11/2013,5802.2,-15,2
6/12/2013,5815.7,-2,2
6/13/2013,5828.5,1,2
6/14/2013,5836.8,7,2
6/15/2013,5861.2,-11,2
6/16/2013,5886.9,-9,3
6/17/2013,5902,-1,3
6/18/2013,5920.3,-8,1
6/19/2013,5938,-7,1
6/20/2013,5950.4,-1,1
6/21/2013,5968.9,-2,1
6/22/2013,5978,3,1
6/23/2013,5987.8,5,1
6/24/2013,6005.9,-3,3
6/25/2013,6013.4,5,5
6/26/2013,6035.4,-6,4
6/27/2013,6055.1,-7,3
6/28/2013,6072,-1,4
6/29/2013,6079,6,5
6/30/2013,6099.2,-5,4
7/1/2013,6122,-13,2
7/2/2013,6140,-6,1
7/3/2013,6156.2,-4,3
7/4/2013,6163.8,11,2
7/5/2013,6174.8,0,2
7/6/2013,6188,-1,1
7/7/2013,6211.9,-10,0
7/8/2013,6240.1,-18,0
7/9/2013,6266.9,-14,0
7/10/2013,6295.1,-18,0
7/11/2013,6314.7,-6,0
7/12/2013,6341.7,-12,0
7/13/2013,6354.3,-5,2
7/14/2013,6381.3,-12,1
7/15/2013,6401.4,-4,1
7/16/2013,6430.3,-22,0
7/17/2013,6454,-12,0
7/18/2013,6477,-11,0
7/19/2013,6503.5,-16,0
7/20/2013,6527.8,-14,0
7/21/2013,6545.6,-3,0
7/22/2013,6571,-16,0
7/23/2013,6594.2,-11,0
7/24/2013,6614.9,-11,0
7/25/2013,6641,-14,0
7/26/2013,6661,-9,0
7/27/2013,6678.4,-5,0
7/28/2013,6694.3,-4,0
7/29/2013,6717.8,-12,0
7/30/2013,6741.1,-13,0
7/31/2013,6749,5,0
8/1/2013,6766.7,-5,0
8/2/2013,6792.8,-16,0
8/3/2013,6814,-12,0
8/4/2013,6835.1,-10,0
8/5/2013,6859.8,-14,0
8/6/2013,6876.3,-6,0
8/7/2013,6888.9,2,0
8/8/2013,6891.6,12,1
8/9/2013,6910.6,-6,2
8/10/2013,6929.7,-7,1
8/11/2013,6944,-1,1
8/12/2013,6957,-4,1
8/13/2013,6970.7,0,2
8/14/2013,6995,-11,2
8/15/2013,7007,0,3
8/16/2013,7021,-4,2
8/17/2013,7035.7,-7,2
8/18/2013,7053.9,-5,1
8/19/2013,7070,-2,1
8/20/2013,7094,-11,1
8/21/2013,7110,-6,1
8/22/2013,7132,-10,2
8/23/2013,7140,3,1
8/24/2013,7162,-10,1
8/25/2013,7167,10,1
8/26/2013,7178,3,1
8/27/2013,7193,-5,1
8/28/2013,7214,-9,1
8/29/2013,7230,-5,1
8/30/2013,7252,-10,1
8/31/2013,7266,-1,1
9/1/2013,7286,-8,1
9/2/2013,7299,3,2
9/3/2013,7320,-9,2
9/4/2013,7332,0,1
9/5/2013,7352,-9,1
9/6/2013,7372,-7,1
9/7/2013,7383,-1,1
9/8/2013,7399,2,1
9/9/2013,7414,-3,1
9/10/2013,7420,3,3
9/11/2013,7430,8,6
9/12/2013,7437,7,6
9/13/2013,7447,5,4
9/14/2013,7452,8,6
9/15/2013,7458,2,4
9/16/2013,7468,7,5
9/17/2013,7485,0,5
9/18/2013,7492,7,7
9/19/2013,7497,9,9
9/20/2013,7504,7,6
9/21/2013,7514,5,7
9/22/2013,7527,6,5
9/23/2013,7533,9,4
9/24/2013,7543,3,3
9/25/2013,7559,-1,3
9/26/2013,7571,3,4
9/27/2013,7584,0,4
9/28/2013,7598,-3,8
9/29/2013,7610,3,7
9/30/2013,7625,2,6
10/1/2013,7640,-4,7
10/2/2013,7654,-1,6
10/3/2013,7670,0,4
10/4/2013,7680,4,5
10/5/2013,7688,8,4
10/6/2013,7692,13,4
10/7/2013,7701,6,4
10/8/2013,7711,2,6
10/9/2013,7719,6,5
10/10/2013,7725,9,6
10/11/2013,7732,10,10
10/12/2013,7735,11,10
10/13/2013,7746,7,10
10/14/2013,7747,16,13
10/15/2013,7749,13,10
10/16/2013,7752,13,11
10/17/2013,7756,15,10
10/18/2013,7767,5,9
10/19/2013,7776,7,8
10/20/2013,7778,11,6
10/21/2013,7783,15,6
10/22/2013,7788,11,5
10/23/2013,7795,8,4
10/24/2013,7800,11,5
10/25/2013,7809,9,8
10/26/2013,7813,10,6
10/27/2013,7819,12,5
10/28/2013,7822,15,6
10/29/2013,7826,12,8
10/30/2013,7833,7,19
10/31/2013,7838,10,10
11/1/2013,7844,13,14
11/2/2013,7849,11,10
11/3/2013,7850,14,9
11/4/2013,7856,12,11
11/5/2013,7858,14,12
11/6/2013,7860,14,15
11/7/2013,7861,15,11
11/8/2013,7863,16,9
11/9/2013,7866,14,11
11/10/2013,7869,8,13
11/11/2013,7874,9,15
11/12/2013,7878,6,13
11/13/2013,7880,16,14
11/14/2013,7884,11,20
11/15/2013,7886,18,13
11/16/2013,7891,10,14
11/17/2013,7893,11,14
11/18/2013,7894,19,15
11/19/2013,7896,14,13
11/20/2013,7897,15,17
11/21/2013,7899,17,18
11/22/2013,7903,15,17
11/23/2013,7904,14,17
11/24/2013,7906,21,17
11/25/2013,7908,18,14
11/26/2013,7912,12,14
11/27/2013,7914,17,14
11/28/2013,7918,13,14
11/29/2013,7919,17,14
11/30/2013,7920,21,15
12/1/2013,7922,17,14
12/2/2013,7927,13,14
12/3/2013,7931,10,14
12/4/2013,7936,13,18
12/5/2013,7937,18,17
12/6/2013,7938,16,18
12/7/2013,7943,12,18
12/8/2013,7945,16,17
12/9/2013,7947,18,14
12/10/2013,7952,11,14
12/11/2013,7957,11,16
12/12/2013,7962,11,18
12/13/2013,7965,10,19
12/14/2013,7970,15,19
12/15/2013,7975,9,17
12/16/2013,7977,17,15
12/17/2013,7981,11,13
12/18/2013,7982,14,12
12/19/2013,7986,13,14
12/20/2013,7990,11,13
12/21/2013,7995,11,15
12/22/2013,7997,20,15
12/23/2013,7998,19,15
12/24/2013,7999.8,16,15
12/25/2013,8000,19,14
12/26/2013,8002,14,13
12/27/2013,8006,11,16
12/28/2013,8007,16,15
12/29/2013,8010,17,14
12/30/2013,8014,14,15
12/31/2013,8016,10,15
1/1/2014,8018,20,16
1/2/2014,8021,12,14
1/3/2014,8023,18,13
1/4/2014,8026,9,14
1/5/2014,8027,10,12
1/6/2014,8029,17,15
1/7/2014,8031,15,12
1/8/2014,8034,10,11
1/9/2014,8037,14,12
1/10/2014,8038,14,14
1/11/2014,8041,11,14
1/12/2014,8046,14,16
1/13/2014,8052,10,16
1/14/2014,8057,10,13
1/15/2014,8058,17,16
1/16/2014,8059,18,17
1/17/2014,8060,13,14
1/18/2014,8062,16,14
1/19/2014,8064,16,13
1/20/2014,8067,15,13
1/21/2014,8068,14,13
1/22/2014,8070,16,15
1/23/2014,8075,13,16
1/24/2014,8076,15,16
1/25/2014,8082,10,16
1/26/2014,8084,18,18
1/27/2014,8087,16,18
1/28/2014,8088,16,18
1/29/2014,8090,14,20
1/30/2014,8094,15,18
1/31/2014,8097,12,17
2/1/2014,8101,12,17
2/2/2014,8104,20,12
2/3/2014,8109,11,19
2/4/2014,8117,11,16
2/5/2014,8122,8,14
2/6/2014,8126,16,16
2/7/2014,8129,15,13
2/8/2014,8130,15,17
2/9/2014,8132,20,16
2/10/2014,8135,8,17
2/11/2014,8137,12,15
2/12/2014,8141,16,17
2/13/2014,8147,12,17
2/14/2014,8149,14,16
2/15/2014,8151,14,14
2/16/2014,8157,11,15
2/17/2014,8167,8,15
2/18/2014,8175,9,13
2/19/2014,8177,12,14
2/20/2014,8182,10,14
2/21/2014,8183,13,14
2/22/2014,8193,5,13
2/23/2014,8200,11,15
2/24/2014,8211,5,7
2/25/2014,8220,5,12
2/26/2014,8226,6,11
2/27/2014,8236,9,14
2/28/2014,8238,12,15
3/1/2014,8242,9,14
